Name,Subject,PS,Year,WS,URL,,,,
A1194,MS&E,Huazhong University of Science and Technology,2011,Wuhan Textile University,https://em.wtu.edu.cn/info/1013/3064.htm,,,,
A1195,MS&E,Huazhong University of Science and Technology,2009,Wuhan Textile University,https://em.wtu.edu.cn/info/1013/3082.htm,,,,
A1196,MS&E,Huazhong University of Science and Technology,,Wuhan Textile University,https://em.wtu.edu.cn/info/1013/3068.htm,,,,
A1197,MS&E,Huazhong University of Science and Technology,,Wuhan Textile University,https://em.wtu.edu.cn/info/1013/3062.htm,,,,
A1198,MS&E,Huazhong University of Science and Technology,,Wuhan Textile University,https://em.wtu.edu.cn/info/1153/3019.htm,,,,
A1199,MS&E,Huazhong University of Science and Technology,,Wuhan Textile University,https://em.wtu.edu.cn/info/1153/3015.htm,,,,
A1200,MS&E,Huazhong University of Science and Technology,,Jiangnan University,http://busi.jiangnan.edu.cn/info/1050/10696.htm,,,,
A1201,MS&E,Huazhong University of Science and Technology,2012,Guangzhou University,http://bas.gzhu.edu.cn/info/4381/3641.htm,,,,
A1202,MS&E,Huazhong University of Science and Technology,2012,Guangzhou University,http://bas.gzhu.edu.cn/info/4673/3577.htm,,,,
A1203,MS&E,Huazhong University of Science and Technology,2008,Zhengzhou University,http://www5.zzu.edu.cn/sxy/info/1193/4641.htm,,,,
A1204,MS&E,Huazhong University of Science and Technology,2014,Chongqing Jiaotong University,http://jgxy2.cqjtu.edu.cn/index.php?m=content&c=index&a=show&catid=90&id=84,,,,
A1205,MS&E,Huazhong University of Science and Technology,2008,Xian Polytechnic University,https://guanlixy.xpu.edu.cn/info/1451/11590.htm,,,,
A1206,MS&E,Huazhong University of Science and Technology,,Guizhou University,http://mc.gzu.edu.cn/2417/list.htm,,,,
A1207,MS&E,Huazhong University of Science and Technology,2009,Chongqing Technology & Business Institute,https://mse.ctbu.edu.cn/info/1103/9171.htm,,,,
A1208,MS&E,Huazhong University of Science and Technology,,Soochow University,http://pac.suda.edu.cn/03/5c/c27375a459612/page.htm,,,,
A1209,MS&E,Huazhong University of Science and Technology,2017,Wuhan University of Science and Technology,https://som.wust.edu.cn/2018/0910/c6017a168551/page.htm,,,,
A1210,MS&E,Huazhong University of Science and Technology,2005,Wuhan University of Science and Technology,https://som.wust.edu.cn/2018/0910/c6017a168521/page.htm,,,,
A1211,MS&E,Huazhong University of Science and Technology,2011,Wuhan University of Science and Technology,https://som.wust.edu.cn/2018/0907/c6017a168408/page.htm,,,,
A1212,MS&E,Huazhong University of Science and Technology,2005,Wuhan University of Science and Technology,https://som.wust.edu.cn/2018/0907/c4372a168331/page.htm,,,,
A1213,MS&E,Huazhong University of Science and Technology,2009,China Three Gorges University,https://jg.ctgu.edu.cn/info/1167/1255.htm,,,,
A1214,MS&E,Huazhong University of Science and Technology,2003,China Three Gorges University,https://jg.ctgu.edu.cn/info/1173/1288.htm,,,,
A1215,MS&E,Huazhong University of Science and Technology,2012,China Three Gorges University,https://jg.ctgu.edu.cn/info/1173/1274.htm,,,,
A1216,MS&E,Huazhong University of Science and Technology,2006,China Three Gorges University,https://jg.ctgu.edu.cn/info/1174/1304.htm,,,,
A1217,MS&E,Huazhong University of Science and Technology,2014,China Three Gorges University,https://jg.ctgu.edu.cn/info/1174/1294.htm,,,,
A1218,MS&E,Huazhong University of Science and Technology,2020,North China University of Water Resources and Electric Power,https://www5.ncwu.edu.cn/guanjing/contents/651/107904.html,,,,
A1219,MS&E,Huazhong University of Science and Technology,2018,Central China Normal University,http://econ.ccnu.edu.cn/info/1014/10771.htm,,,,
A1220,MS&E,Huazhong University of Science and Technology,2007,Central China Normal University,http://econ.ccnu.edu.cn/info/1014/8074.htm,,,,
A1221,MS&E,Huazhong University of Science and Technology,2010,Central China Normal University,http://econ.ccnu.edu.cn/info/1014/8072.htm,,,,
A1222,MS&E,Huazhong University of Science and Technology,2006,Central China Normal University,http://econ.ccnu.edu.cn/info/1014/8489.htm,,,,
A1223,MS&E,Huazhong University of Science and Technology,2003,Central China Normal University,http://econ.ccnu.edu.cn/info/1011/7080.htm,,,,
A1224,MS&E,Huazhong University of Science and Technology,2019,Central China Normal University,http://econ.ccnu.edu.cn/info/1012/12058.htm,,,,
A1225,MS&E,Huazhong University of Science and Technology,2008,China University of Geosciences Wuhan,https://jgxy.cug.edu.cn/info/1157/6281.htm,,,,
A1226,MS&E,Huazhong University of Science and Technology,2007,China University of Geosciences Wuhan,https://jgxy.cug.edu.cn/info/1157/6283.htm,,,,
A1227,MS&E,Huazhong University of Science and Technology,2003,China University of Geosciences Wuhan,https://jgxy.cug.edu.cn/info/1157/6269.htm,,,,
A1228,MS&E,Huazhong University of Science and Technology,2019,China University of Geosciences Wuhan,https://jgxy.cug.edu.cn/info/1157/6266.htm,,,,
A1229,MS&E,Huazhong University of Science and Technology,2019,China University of Geosciences Wuhan,https://jgxy.cug.edu.cn/info/1157/6265.htm,,,,
A1230,MS&E,Huazhong University of Science and Technology,2018,China University of Geosciences Wuhan,https://jgxy.cug.edu.cn/info/1157/6264.htm,,,,
A1231,MS&E,Huazhong University of Science and Technology,2020,China University of Geosciences Wuhan,https://jgxy.cug.edu.cn/info/1157/6862.htm,,,,
A1232,MS&E,Huazhong University of Science and Technology,2018,China University of Geosciences Wuhan,https://jgxy.cug.edu.cn/info/1157/6260.htm,,,,
A1233,MS&E,Huazhong University of Science and Technology,2016,China University of Geosciences Wuhan,https://jgxy.cug.edu.cn/info/1157/6259.htm,,,,
A1234,MS&E,Huazhong University of Science and Technology,2016,China University of Geosciences Wuhan,https://jgxy.cug.edu.cn/info/1157/6256.htm,,,,
A1235,MS&E,Huazhong University of Science and Technology,2009,Wuhan University of Technology,http://som.whut.edu.cn/rsgz/szdw/201307/t20130730_98279.htm,,,,
A1236,MS&E,Huazhong University of Science and Technology,2010,Wuhan University of Technology,http://som.whut.edu.cn/rsgz/szdw/201307/t20130726_98177.htm,,,,
A1237,MS&E,Huazhong University of Science and Technology,2010,Wuhan University of Technology,http://som.whut.edu.cn/rsgz/szdw/201309/t20130906_102132.htm,,,,
A1238,MS&E,Huazhong University of Science and Technology,2005,Wuhan University of Technology,http://som.whut.edu.cn/rsgz/szdw/201307/t20130726_98157.htm,,,,
A1239,MS&E,Huazhong University of Science and Technology,2004,Wuhan University of Technology,http://som.whut.edu.cn/rsgz/szdw/201307/t20130726_98140.htm,,,,
A1240,MS&E,Huazhong University of Science and Technology,2003,Jiangxi University of Finance and Economics,http://business.jxufe.edu.cn/news-show-173.html,,,,
A1241,MS&E,Huazhong University of Science and Technology,,Jiangxi University of Finance and Economics,http://business.jxufe.edu.cn/news-show-175.html,,,,
A1242,MS&E,Huazhong University of Science and Technology,,University of Shanghai for Science and Technology,https://bs.usst.edu.cn/2020/0630/c10586a226475/page.htm,,,,
A1243,MS&E,Huazhong University of Science and Technology,,University of Shanghai for Science and Technology,https://bs.usst.edu.cn/2020/0630/c10586a226280/page.htm,,,,
A1244,MS&E,Huazhong University of Science and Technology,2017,Fuzhou University,https://jgxy.fzu.edu.cn/info/1038/16150.htm,,,,
A1245,MS&E,Huazhong University of Science and Technology,2020,Fuzhou University,https://jgxy.fzu.edu.cn/info/1023/16063.htm,,,,
A1246,MS&E,Huazhong University of Science and Technology,,Sun Yat-sen University,http://bus.sysu.edu.cn/teacher/ChenZhixiang,,,,
A1247,MS&E,Huazhong University of Science and Technology,,Shenzhen University,https://ma.szu.edu.cn/szll1/axx/gsglx/lt.htm,,,,
A1248,MS&E,Huazhong University of Science and Technology,,Shenzhen University,https://ma.szu.edu.cn/szll1/axx/gsglx/hyt.htm,,,,
A1249,MS&E,Huazhong University of Science and Technology,2016,Hunan University,http://grjl.hnu.edu.cn/p/4407EC5E48915EA878D0860098925C28,,,,
A1250,MS&E,Huazhong University of Science and Technology,2006,Hangzhou Dianzi University,http://management.hdu.edu.cn/2022/0224/c1007a151648/page.htm,,,,
A1251,MS&E,Huazhong University of Science and Technology,1986,Hangzhou Dianzi University,http://management.hdu.edu.cn/2017/0913/c1007a35350/page.htm,,,,
A1252,MS&E,Huazhong University of Science and Technology,2014,Nanjing University of Science and Technology,https://sem.njust.edu.cn/40/80/c13365a213120/page.htm,,,,
A1253,MS&E,Huazhong University of Science and Technology,2006,Jinan University,https://ms.jnu.edu.cn/2019/0613/c13310a338055/page.htm,,,,
A1254,MS&E,Huazhong University of Science and Technology,2003,Jinan University,https://ms.jnu.edu.cn/2019/1231/c13310a464261/page.htm,,,,
A1255,MS&E,Huazhong University of Science and Technology,2003,Jinan University,https://ms.jnu.edu.cn/2019/1231/c13310a464269/page.htm,,,,
A1256,MS&E,Huazhong University of Science and Technology,2011,Jinan University,https://ms.jnu.edu.cn/2019/1231/c13310a464235/page.htm,,,,
A1257,MS&E,Huazhong University of Science and Technology,2003,Guangdong University of Technology,https://glxy.gdut.edu.cn/info/1186/1460.htm,,,,
A1258,MS&E,Huazhong University of Science and Technology,2002,Huazhong University of Science and Technology,http://cm.hust.edu.cn/info/1745/24353.htm,,,,
A1259,MS&E,Huazhong University of Science and Technology,2011,Huazhong University of Science and Technology,http://cm.hust.edu.cn/info/1745/24599.htm,,,,
A1260,MS&E,Huazhong University of Science and Technology,1996,Huazhong University of Science and Technology,http://cm.hust.edu.cn/info/1745/24598.htm,,,,
A1261,MS&E,Huazhong University of Science and Technology,2001,Huazhong University of Science and Technology,http://cm.hust.edu.cn/info/1745/24597.htm,,,,
A1262,MS&E,Huazhong University of Science and Technology,,Huazhong University of Science and Technology,http://cm.hust.edu.cn/info/1745/24596.htm,,,,
A1263,MS&E,Huazhong University of Science and Technology,2004,Huazhong University of Science and Technology,http://cm.hust.edu.cn/info/1745/24595.htm,,,,
A1264,MS&E,Huazhong University of Science and Technology,1998,Huazhong University of Science and Technology,http://cm.hust.edu.cn/info/1745/24592.htm,,,,
A1265,MS&E,Huazhong University of Science and Technology,2012,Huazhong University of Science and Technology,http://cm.hust.edu.cn/info/1745/24591.htm,,,,
A1266,MS&E,Huazhong University of Science and Technology,1997,Huazhong University of Science and Technology,http://cm.hust.edu.cn/info/1745/24589.htm,,,,
A1267,MS&E,Huazhong University of Science and Technology,2000,Huazhong University of Science and Technology,http://cm.hust.edu.cn/info/1745/24586.htm,,,,
A1268,MS&E,Huazhong University of Science and Technology,2002,Huazhong University of Science and Technology,http://cm.hust.edu.cn/info/1745/24374.htm,,,,
A1269,MS&E,Huazhong University of Science and Technology,2009,Huazhong University of Science and Technology,http://cm.hust.edu.cn/info/1745/24373.htm,,,,
A1270,MS&E,Huazhong University of Science and Technology,2005,Huazhong University of Science and Technology,http://cm.hust.edu.cn/info/1745/24362.htm,,,,
A1271,MS&E,Huazhong University of Science and Technology,2003,Huazhong University of Science and Technology,http://cm.hust.edu.cn/info/1745/24361.htm,,,,
A1272,MS&E,Huazhong University of Science and Technology,2005,Huazhong University of Science and Technology,http://cm.hust.edu.cn/info/1745/24360.htm,,,,
A1273,MS&E,Huazhong University of Science and Technology,2011,Huazhong University of Science and Technology,http://cm.hust.edu.cn/info/1745/24359.htm,,,,
A1274,MS&E,Huazhong University of Science and Technology,2017,Huazhong University of Science and Technology,http://cm.hust.edu.cn/info/1745/28819.htm,,,,
A1275,MS&E,Huazhong University of Science and Technology,2009,Beijing Institute of Technology,https://sme.bit.edu.cn/gbszdw/gbjxzy/gbsglkxywlx/3ee06feed3464635ad6e5d20752be232.htm,,,,
A1276,MS&E,Huazhong University of Science and Technology,,Chongqing University,http://faculty.cqu.edu.cn/YongZhang111/zh_CN/index.htm,,,,
A1277,MS&E,Huazhong University of Science and Technology,2004,Chongqing University,http://faculty.cqu.edu.cn/WeiYan111/zh_CN/index.htm,,,,
A1278,MS&E,Huazhong University of Science and Technology,2013,Hangzhou Dianzi University,http://management.hdu.edu.cn/2017/0913/c1009a35368/page.htm,,,,
A1279,BA,Huazhong University of Science and Technology,2005,Yunnan University of Finance and Economics,https://www.ynufe.edu.cn/pub/sxy/szdw/dzswjhlwjrx/155305.htm,,,,
A1280,BA,Huazhong University of Science and Technology,2014,Yunnan University of Finance and Economics,https://www.ynufe.edu.cn/pub/sxy/szdw/dzswjhlwjrx/155304.htm,,,,
A1281,BA,Huazhong University of Science and Technology,2016,Nanjing Forestry University,https://cem.njfu.edu.cn/ShowJs.asp?id=396&xb=5,,,,
A1282,BA,Huazhong University of Science and Technology,2009,Ningbo University,http://nbubs.nbu.edu.cn/info/2038/12398.htm,,,,
A1283,BA,Huazhong University of Science and Technology,2009,Jiangxi Agricultural University,http://jingmao.jxau.edu.cn/3b/ee/c9162a80878/page.htm,,,,
A1284,BA,Huazhong University of Science and Technology,2013,Jiangxi Agricultural University,http://jingmao.jxau.edu.cn/3b/b8/c9114a80824/page.htm,,,,
A1285,BA,Huazhong University of Science and Technology,2008,Henan Normal University,https://www.htu.edu.cn/sxy/2010/0812/c302a16607/page.htm,,,,
A1286,BA,Huazhong University of Science and Technology,2008,Henan Normal University,https://www.htu.edu.cn/sxy/2010/0812/c302a16603/page.htm,,,,
A1287,BA,Huazhong University of Science and Technology,2010,Henan Normal University,https://www.htu.edu.cn/sxy/2010/1013/c302a16622/page.htm,,,,
A1288,BA,Huazhong University of Science and Technology,2006,Henan University of Technology,https://glxy.haut.edu.cn/info/1095/2480.htm,,,,
A1289,BA,Huazhong University of Science and Technology,2017,South China Agricultural University,https://cem.scau.edu.cn/2018/1121/c14302a150878/page.htm,,,,
A1290,BA,Huazhong University of Science and Technology,2005,Central China Normal University,http://econ.ccnu.edu.cn/info/1012/6940.htm,,,,
A1291,BA,Huazhong University of Science and Technology,2005,Beijing University of Technology,https://www.bjut.edu.cn/jjyglxy/info/1119/1103.htm,,,,
A1292,BA,Huazhong University of Science and Technology,2010,China University of Geosciences Wuhan,https://jgxy.cug.edu.cn/info/1155/6223.htm,,,,
A1293,BA,Huazhong University of Science and Technology,2009,China University of Geosciences Wuhan,https://jgxy.cug.edu.cn/info/1155/6225.htm,,,,
A1294,BA,Huazhong University of Science and Technology,2004,China University of Geosciences Wuhan,https://jgxy.cug.edu.cn/info/1155/6226.htm,,,,
A1295,BA,Huazhong University of Science and Technology,2007,China University of Geosciences Wuhan,https://jgxy.cug.edu.cn/info/1155/6227.htm,,,,
A1296,BA,Huazhong University of Science and Technology,2003,China University of Geosciences Wuhan,https://jgxy.cug.edu.cn/info/1155/6245.htm,,,,
A1297,BA,Huazhong University of Science and Technology,2007,Sun Yat-sen University,http://bus.sysu.edu.cn/teacher/PengFangping,,,,
A1298,BA,Huazhong University of Science and Technology,2004,Sun Yat-sen University,http://bus.sysu.edu.cn/teacher/ChiJiayu,,,,
A1299,BA,Huazhong University of Science and Technology,1993,Peking University,https://www.gsm.pku.edu.cn/jsjjxq.jsp?urltype=tree.TreeTempUrl&wbtreeid=1141&user_id=leiming,,,,
A1300,BA,Huazhong University of Science and Technology,,Chongqing University,http://faculty.cqu.edu.cn/BoHe/zh_CN/index.htm,,,,
A1301,BA,Huazhong University of Science and Technology,2007,Wuhan University,http://ems.whu.edu.cn/info/1728/10855.htm,,,,
A1302,BA,Huazhong University of Science and Technology,2008,Wuhan University,http://ems.whu.edu.cn/info/1726/10817.htm,,,,
A1303,BA,Huazhong University of Science and Technology,2006,Wuhan University,http://ems.whu.edu.cn/info/1726/10816.htm,,,,
A1304,BA,Huazhong University of Science and Technology,2014,Zhongnan University of Economics and Law,http://gsxy.zuel.edu.cn/2013/0508/c5296a154374/page.htm,,,,
A1305,BA,Huazhong University of Science and Technology,2016,Zhongnan University of Economics and Law,http://gsxy.zuel.edu.cn/2017/0901/c5314a171492/page.htm,,,,
A1306,BA,Huazhong University of Science and Technology,2014,Zhongnan University of Economics and Law,http://gsxy.zuel.edu.cn/2013/0508/c5317a154487/page.htm,,,,
A1307,BA,Huazhong University of Science and Technology,,Soochow University,http://pac.suda.edu.cn/_s129/dc/d2/c4993a56530/page.psp,,,,
A1308,BA,Huazhong University of Science and Technology,2008,Shandong University,https://www.glxy.sdu.edu.cn/info/1100/3371.htm,,,,
A1309,BA,Huazhong University of Science and Technology,2021,Sichuan University,http://bs.scu.edu.cn/yingxiao/202109/7416.html,,,,
A1310,BA,Huazhong University of Science and Technology,,Hainan University,https://hd.hainanu.edu.cn/guanli/info/1073/1264.htm,,,,
A1311,BA,Huazhong University of Science and Technology,2005,Shandong Technology and Business University,https://gsgl.sdtbu.edu.cn/info/1055/2294.htm,,,,
A1312,BA,Huazhong University of Science and Technology,2007,Kunming University of Science and Technology,https://mef.kmust.edu.cn/info/1296/1602.htm,,,,
A1313,BA,Huazhong University of Science and Technology,2007,Anhui University,http://man.ahu.edu.cn/2021/0507/c14379a258728/page.htm,,,,
A1314,BA,Huazhong University of Science and Technology,2007,Anhui University,http://jjxy.ahu.edu.cn/2017/1214/c9978a76473/page.htm,,,,
A1315,BA,Huazhong University of Science and Technology,2016,Qingdao University of Technology,http://glxy.qut.edu.cn/info/1010/4004.htm,,,,
A1316,BA,Huazhong University of Science and Technology,2016,Northwest University,https://ems.nwu.edu.cn/info/1101/1303.htm,,,,
A1317,BA,Huazhong University of Science and Technology,2003,Xiangtan University,http://business.xtu.edu.cn/index.jsp?cc=cshizidw&cd=teacher&ac=view&id=100199,,,,
A1318,BA,Huazhong University of Science and Technology,2008,Zhengzhou University,http://www5.zzu.edu.cn/sxy/info/1317/4264.htm,,,,
A1319,BA,Huazhong University of Science and Technology,2014,Zhengzhou University,http://www5.zzu.edu.cn/sxy/info/1317/4270.htm,,,,
A1320,BA,Huazhong University of Science and Technology,2020,Zhengzhou University of Aeronautics,http://sxy.zua.edu.cn/info/1266/6016.htm,,,,
A1321,BA,Huazhong University of Science and Technology,2013,Zhengzhou University of Aeronautics,http://sxy.zua.edu.cn/info/1168/2006.htm,,,,
A1322,BA,Huazhong University of Science and Technology,2013,Zhengzhou University of Aeronautics,http://sxy.zua.edu.cn/info/1165/1942.htm,,,,
A1323,BA,Huazhong University of Science and Technology,2011,South-Central Minzu University,https://www.scuec.edu.cn/som/info/1023/1213.htm,,,,
A1324,BA,Huazhong University of Science and Technology,2005,South-Central Minzu University,https://www.scuec.edu.cn/som/info/1023/1212.htm,,,,
A1325,BA,Huazhong University of Science and Technology,2005,South-Central Minzu University,https://www.scuec.edu.cn/som/info/1023/1211.htm,,,,
A1326,BA,Huazhong University of Science and Technology,2010,South-Central Minzu University,https://www.scuec.edu.cn/som/info/1023/1204.htm,,,,
A1327,BA,Huazhong University of Science and Technology,2015,South-Central Minzu University,https://www.scuec.edu.cn/som/info/1023/1199.htm,,,,
A1328,BA,Huazhong University of Science and Technology,2004,South-Central Minzu University,https://www.scuec.edu.cn/som/info/1023/1336.htm,,,,
A1329,BA,Huazhong University of Science and Technology,2007,South-Central Minzu University,https://www.scuec.edu.cn/som/info/1023/1331.htm,,,,
A1330,BA,Huazhong University of Science and Technology,2009,South-Central Minzu University,https://www.scuec.edu.cn/som/info/1023/1330.htm,,,,
A1331,BA,Huazhong University of Science and Technology,2015,Shanghai University,https://ms.shu.edu.cn/info/1258/15099.htm,,,,
A1332,BA,Huazhong University of Science and Technology,2010,Huaqiao University,https://ggxy.hqu.edu.cn/info/1164/6979.htm,,,,
A1333,BA,Huazhong University of Science and Technology,2010,Guangzhou University,http://bas.gzhu.edu.cn/info/4569/3468.htm,,,,
A1334,BA,Huazhong University of Science and Technology,2018,Zhengzhou University,2022-5-94 from李爽,,,,
A1335,BA,Huazhong University of Science and Technology,2017,Shanghai Maritime University,2022-5-95 from李爽,,,,
A1336,BA,Huazhong University of Science and Technology,2017,Hubei University Of Economics,2022-5-96 from李爽,,,,
A1337,BA,Huazhong University of Science and Technology,2017,Xinyang Normal University,2022-5-97 from李爽,,,,
A1338,BA,Huazhong University of Science and Technology,2017,Zhongnan University of Economics and Law,2022-5-98 from李爽,,,,
A1339,BA,Huazhong University of Science and Technology,2017,Hubei University of Technology,2022-5-99 from李爽,,,,
A1340,BA,Huazhong University of Science and Technology,2016,Hubei University Of Economics,2022-5-100 from李爽,,,,
A1341,BA,Huazhong University of Science and Technology,2016,Zhejiang University of Finance  and  Economics,2022-5-101 from李爽,,,,
A1342,BA,Huazhong University of Science and Technology,2016,Shandong Technology and Business University,2022-5-102 from李爽,,,,
A1343,BA,Huazhong University of Science and Technology,2015,Huazhong Agricultural University,2022-5-103 from李爽,,,,
A1344,BA,Huazhong University of Science and Technology,2015,South-Central Minzu University,2022-5-104 from李爽,,,,
A1345,BA,Huazhong University of Science and Technology,2015,China Pharmaceutical University,2022-5-105 from李爽,,,,
A1346,BA,Huazhong University of Science and Technology,2015,WUHAN SPORTS UNIVERSITY,2022-5-106 from李爽,,,,
A1347,BA,Huazhong University of Science and Technology,2015,Xian Jiaotong University,2022-5-107 from李爽,,,,
A1348,BA,Huazhong University of Science and Technology,2015,Wuhan University,2022-5-108 from李爽,,,,
A1349,BA,Huazhong University of Science and Technology,2015,East China University of Science and Technology,2022-5-109 from李爽,,,,
A1350,BA,Hubei University,2006,South-Central Minzu University,https://www.scuec.edu.cn/som/info/1023/1182.htm,,,,
A1351,BA,Hunan Normal University,2014,Xiangtan University,http://business.xtu.edu.cn/index.jsp?cc=cshizidw&cd=teacher&ac=view&id=100218,,,,
A1352,MS&E,Hunan University,2017,Jiangnan University,http://busi.jiangnan.edu.cn/info/1050/10480.htm,,,,
A1353,MS&E,Hunan University,2019,Zhengzhou University,http://www5.zzu.edu.cn/sxy/info/1320/4307.htm,,,,
A1354,MS&E,Hunan University,2014,Zhengzhou University,http://www5.zzu.edu.cn/sxy/info/1193/4655.htm,,,,
A1355,MS&E,Hunan University,1999,Hunan University,http://grjl.hnu.edu.cn/p/0EC6F5DCDED7A95530BFF41C377C1A69,,,,
A1356,MS&E,Hunan University,2005,Hunan University,http://grjl.hnu.edu.cn/p/64158904614FC2207B776E280D41D26F,,,,
A1357,MS&E,Hunan University,2006,Hunan University,http://grjl.hnu.edu.cn/p/6483B12E2F5E79C8029FC65085194684,,,,
A1358,MS&E,Hunan University,2014,Hunan University,http://grjl.hnu.edu.cn/p/F908D0BCD7BE0E6EEEEF8346D28B98D6,,,,
A1359,MS&E,Hunan University,2014,Hunan University,http://grjl.hnu.edu.cn/p/11042FB5B1888C55E81FF59742470734,,,,
A1360,MS&E,Hunan University,2021,Hunan University,http://grjl.hnu.edu.cn/p/E42DB777DA2A6807D7DB9729DAB11293,,,,
A1361,MS&E,Hunan University,2013,Hunan University,http://grjl.hnu.edu.cn/p/DA7898BB32CE192DD056C7D2905BF967,,,,
A1362,MS&E,Hunan University,2011,Hunan University,http://grjl.hnu.edu.cn/p/229FBF89D1810D0ABE864FFFA201525D,,,,
A1363,MS&E,Hunan University,2010,Hunan University,http://grjl.hnu.edu.cn/p/04DA1D454CEA1F9F6967975E923836D7,,,,
A1364,MS&E,Hunan University,2013,Hunan University,http://grjl.hnu.edu.cn/p/376832048739C737CA7FA3AA4109A619,,,,
A1365,MS&E,Hunan University,2011,Hunan University,http://grjl.hnu.edu.cn/p/1B09C8AD91E49F367E0627DA1A5E7251,,,,
A1366,MS&E,Hunan University,2009,Southwest Jiaotong University,https://glxy.swjtu.edu.cn/info/1253/12545.htm,,,,
A1367,BA,Hunan University,2013,Nanjing University of Information Science and Technology,https://faculty.nuist.edu.cn/lichunfeng/zh_CN/index.htm,,,,
A1368,BA,Hunan University,2005,Wuhan University,http://ems.whu.edu.cn/info/1726/22821.htm,,,,
A1369,BA,Hunan University,2004,Hunan University,http://grjl.hnu.edu.cn/p/C7FEFB0A7B4EA2E32DBCAB872B31300C,,,,
A1370,BA,Hunan University,2020,Hunan University,http://grjl.hnu.edu.cn/p/C357EEF67D3DEC44D77DDB2DCF0C9CA7,,,,
A1371,BA,Hunan University,2013,Hunan University,http://grjl.hnu.edu.cn/p/BDF2AE2D31767A25020F7ADB20CFD170,,,,
A1372,BA,Hunan University,2007,Hunan University,http://grjl.hnu.edu.cn/p/47A4040BDCC8AD3AF5302B7128F60B5E,,,,
A1373,BA,Hunan University,2006,Hunan University,http://grjl.hnu.edu.cn/p/40925942C8142A2C328644144ED267E8,,,,
A1374,BA,Hunan University,2021,Hainan University,https://hd.hainanu.edu.cn/guanli/info/1071/5123.htm,,,,
A1375,BA,Hunan University,2020,Zhejiang University of Finance  and  Economics,https://cba.zufe.edu.cn/info/1034/10095.htm,,,,
A1376,BA,Hunan University,2007,Huaqiao University,https://ggxy.hqu.edu.cn/info/1164/5681.htm,,,,
A1377,BA,Hunan University,2014,Hunan University,2022-5-571 from李爽,,,,
A1378,BA,Hunan University,2014,Hunan University,2022-5-572 from李爽,,,,
A1379,BA,Hunan University,2014,Hunan University,2022-5-573 from李爽,,,,
A1380,BA,Hunan University,2014,Hunan University,2022-5-574 from李爽,,,,
A1381,BA,Hunan University,2014,Central South University of Forestry and Technology,2022-5-575 from李爽,,,,
A1382,BA,Hunan University,2014,Changsha University of Science  and  Technology,2022-5-576 from李爽,,,,
A1383,BA,Hunan University,2013,National University of Defense Technology,2022-5-577 from李爽,,,,
A1384,BA,Hunan University,2013,Hunan University,2022-5-578 from李爽,,,,
A1385,BA,Hunan University,2013,Hunan University,2022-5-579 from李爽,,,,
A1386,BA,Hunan University,2013,Changsha University of Science  and  Technology,2022-5-580 from李爽,,,,
A1387,BA,Hunan University,2013,Hunan University,2022-5-581 from李爽,,,,
A1388,BA,Hunan University,2012,Zhejiang University of Finance  and  Economics,2022-5-582 from李爽,,,,
A1389,BA,Hunan University,2012,Anhui University of Finance and Economics,2022-5-583 from李爽,,,,
A1390,BA,Hunan University,2012,Zhongnan University of Economics and Law,2022-5-584 from李爽,,,,
A1391,BA,Hunan University,2012,Hunan University,2022-5-585 from李爽,,,,
A1392,BA,Hunan University,2011,Hunan University,2022-5-586 from李爽,,,,
A1393,BA,Hunan University,2011,Hunan Normal University,2022-5-587 from李爽,,,,
A1394,BA,Hunan University,2011,Hunan University of Science and Technology,2022-5-588 from李爽,,,,
A1395,BA,Hunan University,2011,Central South University,2022-5-589 from李爽,,,,
A1396,BA,Hunan University,2010,Hunan University of Science and Technology,2022-5-590 from李爽,,,,
A1397,BA,Hunan University,2009,Hunan Normal University,2022-5-591 from李爽,,,,
A1398,BA,Hunan University,2009,GuiZhou University of Finance and Economics,2022-5-592 from李爽,,,,
A1399,BA,Hunan University,2009,Hunan University,2022-5-593 from李爽,,,,
A1400,BA,Hunan University,2009,Hunan Normal University,2022-5-594 from李爽,,,,
A1401,BA,Hunan University,2009,Guangdong University of Finance  and  Economics,2022-5-595 from李爽,,,,
A1402,BA,Hunan University,2008,Hunan University,2022-5-596 from李爽,,,,
A1403,BA,Hunan University,2008,Hunan University,2022-5-597 from李爽,,,,
A1404,BA,Hunan University,2019,Hunan University Of Technology and Business,2022-5-598 from李爽,,,,
A1405,BA,Hunan University,2019,Zhengzhou University,2022-5-599 from李爽,,,,
A1406,BA,Hunan University,2019,Hunan Normal University,2022-5-600 from李爽,,,,
A1407,BA,Hunan University,2019,Hunan University of Technology,2022-5-601 from李爽,,,,
A1408,BA,Hunan University,2018,Hunan University of Finance and Economics,2022-5-602 from李爽,,,,
A1409,BA,Hunan University,2018,Hunan City University,2022-5-603 from李爽,,,,
A1410,BA,Hunan University,2017,Hunan Normal University,2022-5-604 from李爽,,,,
A1411,BA,Hunan University,2020,Hunan University,2022-5-605 from李爽,,,,
A1412,BA,Inner Mongolia University of Technology,,Zhejiang Normal University,http://sxy.zjnu.edu.cn/2022/0113/c6488a384959/page.htm,,,,
A1413,BA,Jiangnan University,2009,Henan Normal University,https://www.htu.edu.cn/sxy/2010/1013/c306a16994/page.htm,,,,
A1414,BA,Jiangsu Normal University,2002,Nanjing Tech University,http://jgy.njtech.edu.cn/info/1022/2123.htm,,,,
